file,main_section,subsection,content
Положение УАиГ.docx,,,"Об утверждении положения о коммунальном государственном учреждении ""Управление архитектуры и градостроительства города Алматы"""
Положение УАиГ.docx,,,Постановление акимата города Алматы от 11 сентября 2025 года № 3/628
Положение УАиГ.docx,,,"В соответствии с Гражданским кодексом Республики Казахстан и законами Республики Казахстан ""О местном государственном управлении и самоуправлении в Республике Казахстан"", ""О государственном имуществе"" акимат города Алматы ПОСТАНОВЛЯЕТ:"
Положение УАиГ.docx,,,"1. Утвердить положение о коммунальном государственном учреждении ""Управление архитектуры и градостроительства города Алматы"", согласно приложению 1 к настоящему постановлению."
Положение УАиГ.docx,,,"2. Коммунальному государственному учреждению ""Управление архитектуры и градостроительства города Алматы"" (далее - Учреждение) в установленном законодательством Республики Казахстан порядке обеспечить:"
Положение УАиГ.docx,,,1) перерегистрацию Учреждения в органах юстиции города Алматы;
Положение УАиГ.docx,,,"2) направление настоящего постановления в Республиканское государственное предприятие на праве хозяйственного ведения ""Институт законодательства и правовой информации Республики Казахстан"" Министерства юстиции Республики Казахстан для официального опубликования и включения в Эталонный контрольный банк нормативных правовых актов Республики Казахстан."
Положение УАиГ.docx,,,"3. Признать утратившими силу постановления акимата города Алматы, согласно приложению 2 к настоящему постановлению."
Положение УАиГ.docx,,,4. Контроль за исполнением настоящего постановления возложить на курирующего заместителя акима города Алматы.
Положение УАиГ.docx,,,5. Настоящее постановление вводится в действие со дня его первого официального опубликования.
Положение УАиГ.docx,,,"Положение о коммунальном государственном учреждении ""Управление архитектуры и градостроительства города Алматы"""
Положение УАиГ.docx,Глава 1. Общие положения,,
Положение УАиГ.docx,Глава 1. Общие положения,,"1. Коммунальное государственное учреждение ""Управление архитектуры и градостроительства города Алматы"" (далее – Управление архитектуры и градостроительства города Алматы) является государственным органом Республики Казахстан, осуществляющим руководство в сфере выполнения функций государственного управления в области архитектурной и градостроительной деятельности на территории города Алматы."
Положение УАиГ.docx,Глава 1. Общие положения,,"2. Управление архитектуры и градостроительства города Алматы осуществляет свою деятельность в соответствии с Конституцией и законами Республики Казахстан, актами Президента и Правительства Республики Казахстан и иными нормативными правовыми актами, постановлениями акимата города Алматы, решениями и распоряжениями акима города Алматы, а также настоящим Положением."
Положение УАиГ.docx,Глава 1. Общие положения,,"3. Управление архитектуры и градостроительства города Алматы является юридическим лицом в организационно-правовой форме государственного учреждения, печать с изображением Государственного Герба Республики Казахстан и штампы со своим наименованием на казахском и русском языках, бланки установленного образца, счета в органах казначейства в соответствии с законодательством Республики Казахстан."
Положение УАиГ.docx,Глава 1. Общие положения,,4. Управление архитектуры и градостроительства города Алматы вступает в гражданско-правовые отношения от собственного имени.
Положение УАиГ.docx,Глава 1. Общие положения,,"5. Управление архитектуры и градостроительства города Алматы имеет право выступать стороной гражданско-правовых отношений от имени государства, если оно уполномочено на это в соответствии с законодательством Республики Казахстан."
Положение УАиГ.docx,Глава 1. Общие положения,,"6. Управление архитектуры и градостроительства города Алматы по вопросам своей компетенции в установленном законодательством порядке принимает решения, оформляемые приказами руководителя Управления архитектуры и градостроительства города Алматы и другими актами, предусмотренными законодательством Республики Казахстан."
Положение УАиГ.docx,Глава 1. Общие положения,,"7. Структура и лимит штатной численности коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы"" утверждаются в соответствии с законодательством Республики Казахстан."
Положение УАиГ.docx,Глава 1. Общие положения,,"8. Местонахождение юридического лица: 050000, город Алматы, Бостандыкский район, проспект Абая, 90."
Положение УАиГ.docx,Глава 1. Общие положения,,9. Настоящее положение является учредительным документом Управления архитектуры и градостроительства города Алматы.
Положение УАиГ.docx,Глава 1. Общие положения,10. Финансирование деятельности Управления архитектуры и градостроительства города Алматы осуществляется из местного бюджета.,
Положение УАиГ.docx,Глава 1. Общие положения,"11. Управлению архитектуры и градостроительства города Алматы запрещается вступать в договорные отношения с субъектами предпринимательства на предмет выполнения обязанностей, являющихся полномочиями Управления архитектуры и градостроительства города Алматы.",
Положение УАиГ.docx,Глава 1. Общие положения,"11. Управлению архитектуры и градостроительства города Алматы запрещается вступать в договорные отношения с субъектами предпринимательства на предмет выполнения обязанностей, являющихся полномочиями Управления архитектуры и градостроительства города Алматы.","Если Управлению архитектуры и градостроительства города Алматы законодательными актами предоставлено право осуществлять приносящую доходы деятельность, то полученные доходы направляются в государственный бюджет, если иное не установлено законодательством Республики Казахстан."
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",,
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",12. Задачи:,
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",12. Задачи:,"1) градостроительное планирование на принципах транзитно-ориентированного развития, полицентричности, шаговой доступности;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",12. Задачи:,"2) внедрение современных стандартов застройки, ориентированных на повышение архитектурно-градостроительных качеств с учетом социальных потребностей и интересов граждан, в том числе обеспечивающих доступность среды для маломобильных групп;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",12. Задачи:,"3) обеспечение прозрачности, доступности, оперативности и удобства предоставляемых государственных услуг в сфере градостроительства посредством передовых цифровых технологий по лучшим мировым практикам."
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,1) права:
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,1. запрашивать и получать необходимую информацию и заключения у государственных органов и иных организаций;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"2. вносить предложения акиму города Алматы по вопросам, входящим в компетенцию Управления архитектуры и градостроительства города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"3. вносить в установленном порядке проекты постановлений акимата, решений и распоряжений акима и решений Маслихата по вопросам, входящим в компетенцию Управления архитектуры и градостроительства города Алматы;"
